City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Moengo,SR,87.15,clear sky,5.6167,-54.4,Masanga
263,Ramnagar,IN,80.19,overcast clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
265,Darnah,LY,85.06,clear sky,32.767,22.6367,فندق الفردوس
271,Portel,BR,76.48,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
274,Umea,SE,80.53,few clouds,63.8284,20.2597,Hotel Avenue | ProfilHotels
276,Conway,US,86.02,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
277,Bandarbeyla,SO,79.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
279,Elizabeth City,US,84.25,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
280,Puerto Del Rosario,ES,80.28,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
282,Kavaratti,IN,82.22,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
283,Axim,GH,82.11,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
284,Sao Francisco,BR,78.62,clear sky,-15.9486,-44.8644,Hotel Supremo
287,Lonar,IN,75.0,overcast clouds,19.9833,76.5333,Hotel Jai Bhawani
291,Fort-Shevchenko,KZ,82.71,clear sky,44.5086,50.263,Oasis hotel Bautino
293,Sidi Ali,DZ,85.89,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
295,Benghazi,LY,85.6,clear sky,32.1167,20.0667,Tibesti Hotel
301,The Valley,AI,85.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
302,Ikom,NG,88.29,scattered clouds,5.9667,8.7063,Reho Farm & Resort
306,Eregli,TR,84.63,clear sky,37.5133,34.0467,Hotel Fuat Bey
308,Jacareacanga,BR,82.71,clear sky,-6.2222,-57.7528,Casa do Ian😎
311,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
312,Medea,DZ,79.25,clear sky,36.2642,2.7539,Hôtel M'Sallah
313,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
314,Yadgir,IN,76.15,overcast clouds,16.7667,77.1333,Hotel SLV yadgir
316,Bereda,ES,78.42,clear sky,43.2686,-7.5406,Pazo de Verdes
318,Kivertsi,UA,80.92,scattered clouds,50.8343,25.4582,Kivertsovsky OT Nekrasov 24A
319,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
321,Santa Ana,US,79.36,few clouds,33.7456,-117.8678,Santa Ana Travel Inn
322,Araguacu,BR,81.73,clear sky,-12.9306,-49.8264,Hotel Tocantins
323,Havelock,US,84.06,clear sky,34.8791,-76.9013,Sherwood Motel
325,Itupiranga,BR,89.92,broken clouds,-5.1347,-49.3267,Hotel Panorama
330,Inirida,CO,81.25,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
333,Dwarka,IN,82.9,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
334,Indiana,US,79.97,overcast clouds,40.0003,-86.2503,WonderTree Farm
336,Lodwar,KE,89.44,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
339,Kismayo,SO,77.94,overcast clouds,-0.3582,42.5454,Agan-Hotel
343,Sao Miguel Do Araguaia,BR,79.38,clear sky,-13.275,-50.1628,Hotel Executivo Palace
346,Biu,NG,78.1,moderate rain,10.6129,12.1946,Emir's Palace
350,Zambezi,ZM,82.29,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
352,Rockford,US,81.59,overcast clouds,42.2711,-89.094,City Plaza Suites
358,Barra Dos Coqueiros,BR,82.42,few clouds,-10.9089,-37.0386,Jangadeiro
359,Simpsonville,US,86.9,clear sky,34.7371,-82.2543,Hampton Inn Greenville/Simpsonville
364,Kigoma,TZ,79.61,clear sky,-4.8769,29.6267,MJI Mwema Lodge
368,Road Town,VG,86.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
369,Januaria,BR,81.34,clear sky,-15.4833,-44.3667,Hotel Paraguassu
372,Sencha,UA,89.11,light rain,50.2548,33.346,КЛАДКА ВАРЕНЮКІВ
373,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
374,Nara,JP,84.96,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
375,Bayan,CN,75.42,moderate rain,46.0833,127.4,Wanhao Inn
378,Xai-Xai,MZ,78.15,clear sky,-25.0519,33.6442,Complexo da Familia
