City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Lima,PE,-12.0432,-77.0282,59.25,88,90,2.3,overcast clouds
220,Baghdad,IQ,33.3406,44.4009,111.11,13,0,14.97,clear sky
221,Dhidhdhoo,MV,6.8833,73.1,82.96,74,100,12.33,overcast clouds
222,Kaabong,UG,3.4836,34.1492,70.97,65,91,2.77,light rain
223,Port Elizabeth,ZA,-33.918,25.5701,63.1,67,75,19.57,broken clouds
224,Deblin,PL,51.5591,21.8483,84.02,37,10,10.63,clear sky
225,Ariquemes,BR,-9.9133,-63.0408,71.6,23,2,9.95,clear sky
226,Correntina,BR,-13.3433,-44.6367,84.97,28,0,7.58,clear sky
227,Goderich,CA,43.7501,-81.7165,72.91,88,94,5.75,overcast clouds
228,Junin,AR,-34.5838,-60.9433,50.99,41,0,7.85,clear sky
229,Beyneu,KZ,45.3167,55.2,91.29,17,0,6.85,clear sky
230,Shahrud,IR,36.4182,54.9763,76.17,51,85,14.74,overcast clouds
231,Don Benito,ES,38.9563,-5.8616,96.93,16,0,11.18,clear sky
232,Bela,IN,25.9333,81.9833,83.44,83,100,11.39,light rain
233,Kruisfontein,ZA,-34.0033,24.7314,60.89,61,11,21.74,few clouds
234,Tres Arroyos,AR,-38.3739,-60.2798,48.81,42,0,10.58,clear sky
235,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,63,75,16.11,broken clouds
236,Zonguldak,TR,41.25,31.8333,77.85,28,0,8.55,clear sky
237,Akdepe,TM,42.0551,59.3788,91.4,21,0,18.7,clear sky
238,Landerneau,FR,48.4525,-4.2525,70.56,59,90,17.27,overcast clouds
239,Valparaiso,CL,-33.0393,-71.6273,50.92,91,90,5.75,fog
240,Ostrovnoy,RU,68.0531,39.5131,48.6,75,100,5.41,overcast clouds
241,Buchanan,LR,5.8808,-10.0467,82.08,60,92,7.92,overcast clouds
242,Brigantine,US,39.4101,-74.3646,77.16,88,90,10.36,overcast clouds
243,Yining,CN,29.0361,114.5636,79.5,81,3,2.15,clear sky
244,Port Blair,IN,11.6667,92.75,82.24,84,77,17.05,broken clouds
245,Yambio,SS,4.5721,28.3955,76.08,89,42,5.73,light rain
246,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,18.41,scattered clouds
247,Pedreiras,BR,-4.5688,-44.6003,92.43,46,29,2.13,scattered clouds
248,Ilulissat,GL,69.2167,-51.1,51.82,62,75,3.44,broken clouds
249,West Bay,KY,19.3667,-81.4167,88.07,77,40,1.99,scattered clouds
250,Kremenki,RU,54.885,37.1261,81.5,60,97,4.47,overcast clouds
251,Iralaya,HN,15.0,-83.2333,80.69,82,100,10.09,overcast clouds
252,Atar,MR,20.5169,-13.0499,103.35,18,13,11.92,few clouds
253,Shirvan,AZ,39.9509,48.8994,85.95,31,55,14.5,broken clouds
254,Roquetas De Mar,ES,36.7642,-2.6148,84.2,69,11,6.58,few clouds
255,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,79,75,13.8,broken clouds
256,Moengo,SR,5.6167,-54.4,87.15,56,1,3.87,clear sky
257,Quatre Cocos,MU,-20.2078,57.7625,70.09,72,94,21.68,light rain
258,Grindavik,IS,63.8424,-22.4338,63.07,67,0,8.05,clear sky
259,Dolores,AR,-36.3132,-57.6792,46.0,52,12,11.16,few clouds
260,Multan,PK,30.1956,71.4753,96.69,56,75,6.91,smoke
261,Terra Santa,BR,-2.1042,-56.4869,90.64,32,58,4.72,broken clouds
262,Tayzhina,RU,53.6679,87.4362,59.7,61,86,3.56,overcast clouds
263,Ramnagar,IN,29.4,79.1167,80.19,86,100,2.15,overcast clouds
264,Canete,CL,-37.8,-73.4,54.73,57,0,0.96,clear sky
265,Darnah,LY,32.767,22.6367,85.06,59,0,20.62,clear sky
266,Korla,CN,41.7597,86.1469,96.85,15,2,13.13,clear sky
267,Inhambane,MZ,-23.865,35.3833,72.86,52,1,9.31,clear sky
268,Basavana Bagevadi,IN,16.5833,75.9667,74.84,77,100,19.64,overcast clouds
269,Byumba,RW,-1.5763,30.0675,70.0,36,76,3.27,broken clouds
270,Bar-Le-Duc,FR,48.75,5.1667,70.61,59,83,11.81,broken clouds
271,Portel,BR,-1.9356,-50.8211,76.48,88,100,2.91,overcast clouds
272,Brekstad,NO,63.687,9.6654,68.92,77,75,17.27,broken clouds
273,Chapais,CA,49.7834,-74.8492,60.58,95,100,8.32,overcast clouds
274,Umea,SE,63.8284,20.2597,80.53,39,20,10.36,few clouds
275,Coihaique,CL,-45.5752,-72.0662,45.21,75,0,9.22,clear sky
276,Conway,US,35.0887,-92.4421,86.02,82,1,0.0,clear sky
